// ID, Skill1, Option1, Option2, Skill2, Option3, Option4, ..., Skill6, Option11, Option12
// Skill: 1 - Summon, 2 - Heal, 3 - PolyMorph, 4 - Effect, 48 - DoubleAttack, 
// 95 - Suicide, 96 - CriticalAttack, 97 - TripleAttack, 98 - SelfDestuction, 99 - DrainLife
// 100 - Attack(4), 101 - Attack(5), 102 - MentalBreaker(Drain SP)
// Effects : 1 - Stone, 2 - Freeze, 3 - Stun, 4 - Sleep, 5 - Slient, 6 - Poison, 7 - Confuse, 8 - Curse, 9 - Dark
1063,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
1090,1,1002,1113,1,1002,1113,1,1002,1113,1,1002,1113,1,1002,1113,1,1002,1113
1010,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0
1009,111,0,0,0,0,0,111,0,0,0,0,0,111,0,0,0,0,0
1093,1,1063,1063,1,1603,1063,1,1063,1063,1,1063,1063,1,1063,1063,1,1063,1063
1091,1,1011,1011,4,5,5,1,1011,1011,4,5,5,0,0,0,0,0,0
1005,4,9,9,0,0,0,4,9,9,0,0,0,4,9,9,0,0,0
1004,48,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0
1106,111,0,0,111,0,0,111,0,0,111,0,0,111,0,0,0,0,0
1014,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0
1247,26,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,0,0
1089,1,1012,1012,1,1012,1012,1,1012,1012,1,1012,1012,1,1012,1012,1,1012,1012
1019,136,0,0,1,1047,1047,136,0,0,1,1047,1047,136,0,0,0,0,0
1055,48,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0
1174,4,5,5,0,0,0,4,5,5,0,0,0,4,5,5,0,0,0,0,0,0
1018,26,0,0,4,4,4,26,0,0,4,4,4,0,0,0,0,0,0
1042,4,5,5,0,0,0,4,5,5,0,0,0,4,5,5,0,0,0
1104,152,0,0,0,0,0,152,0,0,0,0,0,152,0,0,0,0,0
1120,26,0,0,1,1186,1186,13,0,0,135,0,0,30,0,0,0,0,0
1186,135,0,0,0,0,0,135,0,0,0,0,0,135,0,0,0,0,0
1145,149,0,0,135,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1088,1,1052,1052,76,0,0,48,0,0,1,1052,1052,76,0,0,48,0,0
1056,135,0,0,2,0,0,135,0,0,2,0,0,135,0,0,2,0,0
1128,48,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0
1057,152,0,0,2,0,0,152,0,0,2,0,0,152,0,0,0,0,0
1077,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1176,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
1096,12,0,0,2,0,0,156,0,0,1,1062,1031,1,1062,1031,0,0,0
1033,11,0,0,19,0,0,11,0,0,19,0,0,0,0,0,0,0,0
1114,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0
1254,48,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0
1141,96,0,0,0,0,0,96,0,0,0,0,0,96,0,0,0,0,0
1058,76,0,0,0,0,0,76,0,0,0,0,0,76,0,0,0,0,0
1030,52,0,0,0,0,0,52,0,0,0,0,0,52,0,0,0,0,0
1103,48,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0
1111,4,9,9,99,0,0,4,9,9,99,0,0,0,0,0,0,0,0
1092,97,0,0,1,1013,1013,97,0,0,1,1013,1013,97,0,0,0,0,0
1001,4,6,6,0,0,0,4,6,6,0,0,0,4,6,6,0,0,0
1153,96,0,0,0,0,0,96,0,0,0,0,0,96,0,0,0,0,0
1072,19,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0
1040,8,0,0,4,3,3,8,0,0,4,3,3,8,0,0,0,0,0
1392,29,0,0,97,0,0,98,0,0,98,0,0,98,0,0,0,0,0
1060,8,0,0,4,3,3,8,0,0,4,3,3,8,0,0,0,0,0
1265,11,0,0,2,0,0,78,0,0,11,0,0,2,0,0,0,0,0
1071,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
1139,48,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0
1138,120,0,0,4,3,3,120,0,0,4,3,3,0,0,0,0,0,0
1166,29,0,0,8,0,0,29,0,0,8,0,0,0,0,0,0,0,0
1118,99,0,0,0,0,0,99,0,0,0,0,0,99,0,0,0,0,0
1127,135,0,0,0,0,0,135,0,0,0,0,0,135,0,0,0,0,0
1106,149,0,0,48,0,0,149,0,0,48,0,0,0,0,0,0,0,0
1258,46,0,0,0,0,0,46,0,0,0,0,0,46,0,0,0,0,0
1142,98,0,0,0,0,0,98,0,0,0,0,0,98,0,0,0,0,0
1152,96,0,0,0,0,0,96,0,0,0,0,0,96,0,0,0,0,0
1246,11,0,0,20,0,0,78,0,0,11,0,0,20,0,0,0,0,0
1121,119,0,0,149,0,0,119,0,0,149,0,0,0,0,0,0,0,0
1028,48,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0
1026,4,3,3,0,0,0,4,3,3,0,0,0,4,3,3,0,0,0
1243,58,0,0,8,0,0,58,0,0,8,0,0,0,0,0,0,0,0
1069,86,0,0,0,0,0,86,0,0,0,0,0,86,0,0,0,0,0
1119,48,0,0,96,0,0,97,0,0,135,0,0,135,0,0,0,0,0
1146,136,0,0,0,0,0,136,0,0,0,0,0,136,0,0,0,0,0
1016,46,0,0,0,0,0,46,0,0,0,0,0,46,0,0,0,0,0
1044,4,5,5,0,0,0,4,5,5,0,0,0,4,5,5,0,0,0
1273,29,0,0,0,0,0,29,0,0,0,0,0,29,0,0,0,0,0
1177,119,0,0,0,0,0,119,0,0,0,0,0,119,0,0,0,0,0
1188,150,0,0,58,0,0,150,0,0,58,0,0,0,0,0,0,0,0
1407,42,0,0,111,0,0,42,0,0,111,0,0,0,0,0,0,0,0
1170,5,0,0,95,0,0,5,0,0,95,0,0,5,0,0,0,0,0
1282,46,0,0,0,0,0,46,0,0,0,0,0,46,0,0,0,0,0
1165,149,0,0,135,0,0,149,0,0,135,0,0,0,0,0,0,0,0
