500,650,700,2000,2000,2000,2000,650,700,800,2000,2000,2000,2000,2000
400,500,550,600,650,700,2000,2000,650,700,750,2000,2000,2000,2000
500,600,2000,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000
400,600,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000,2000
400,2000,2000,2000,2000,2000,2000,600,600,2000,2000,2000,2000,2000,2000
400,600,700,2000,2000,2000,2000,2000,700,700,750,2000,2000,2000,2000
400,500,650,2000,2000,2000,800,2000,2000,800,2000,2000,2000,2000,2000
400,500,500,550,600,600,2000,2000,650,700,700,2000,2000,2000,2000
400,2000,2000,2000,2000,2000,2000,600,600,2000,2000,2000,600,2000,2000
500,575,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,2000,2000,2000
400,600,650,2000,2000,2000,2000,2000,675,650,650,2000,2000,2000,2000
400,600,2000,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,2000
400,500,650,2000,2000,2000,2000,2000,2000,800,2000,500,2000,2000,2000
400,500,500,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,2000
400,500,500,550,600,600,2000,2000,650,700,700,2000,2000,2000,2000
400,2000,2000,2000,2000,2000,2000,575,575,2000,2000,2000,2000,475,2000
450,525,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,550,2000,2000
400,500,550,2000,2000,2000,2000,2000,2000,800,2000,2000,2000,2000,2000
400,550,575,2000,2000,2000,2000,2000,650,675,650,2000,2000,2000,2000
400,550,2000,2000,2000,2000,650,2000,2000,2000,2000,2000,2000,2000,575 
400,550,2000,2000,2000,2000,650,2000,2000,2000,2000,2000,2000,2000,575 
400,650,700,2000,2000,2000,2000,650,700,800,2000,2000,2000,2000,2000
400,650,700,2000,2000,2000,2000,650,700,800,2000,2000,2000,2000,2000
400,650,700,2000,2000,2000,2000,650,700,800,2000,2000,2000,2000,2000
